trigger,form,positive,p_minus_trig,p_plus_trig,neutral,n_minus_trig,n_plus_trig
only,base,Alexandra baked a pie last weekend.,She made a pie.,She only made a pie.,What did Alexandra do last weekend?,She made a pie.,She only made a pie.
only,base,Jonathan took a chemistry class last spring.,He took a chemistry class.,He only took a chemistry class.,What did Jonathan do last spring?,He took a chemistry class.,He only took a chemistry class.
only,base,Jada built a bench last week.,She built a bench,She only built a bench,What did Jada do last week?,She built a bench,She only built a bench
only,base,Samuel watched a baseball game today.,He watched a baseball game.,He only watched a baseball game.,What did Samuel do today?,He watched a baseball game.,He only watched a baseball game.
only,base,Sarah went to the park today.,She visited the park.,She only visited the park.,What did Sarah do today?,She visited the park.,She only visited the park
even,base,Robert baked a lot of things last weekend.,He made a cake.,He even made a cake.,What did Sarah do last weekend?,He made a cake.,He even made a cake.
even,base,Maria took a lot of courses last spring.,She took a biology class.,She even took a biology class.,What did Maria do last spring?,She took a biology class.,She even took a biology class.
even,base,Henry made some furniture last week.,He built a chair.,He even built a chair,What did Henry do last week?,He built a chair.,He even built a chair
even,base,Rachel watched a lot of sports today.,She watched a hockey game.,She even watched a hockey game.,What did Rachel do today?,She watched a hockey game.,She even watched a hockey game.
even,base,Josh ran lots of errands today.,He went to the hardware store.,He even went to the hardware store.,What did Josh do today?,He went to the hardware store.,He even went to the hardware store.
too,base,Rebecca baked cookies last weekend.,John made cookies.,"John made cookies, too.",What did John do last week?,He made cookies.,"He made cookies, too."
too,base,Peter took a math class last spring.,Susan took a math class.,"Susan took a math class, too.",What did Susan do last spring?,She took a math class.,"She took a math class, too."
too,base,Helen built a stool last week.,Bill built a stool.,"Bill built a stool, too.",What did Helen do last week?,She built a stool.,"She built a stool, too."
too,base,Julia watched a football game today.,Edward watched a football game.,"Edward watched a football game, too.",What did Edward do today?,He watched a football game.,"He watched a football game, too."
too,base,Richard went to the grocery store today.,Jill went to the grocery store.,"Jill went to the grocery store, too.",What did Jill do today?,She went to the grocery store.,"She went to the grocery store, too."
cleft,base,Hannah baked something last weekend.,She made muffins.,It was muffins that she made.,What did Hannah do last weekend?,She made muffins.,It was muffins that she made.
