#
# Results on Monday November 02 2020 01:42:45 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36
# Design number was non-random = 0
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1604281365,b629cab85878712ab84bccadf565e522,Form,1,0,intro,NULL,TurkID,A3V1VK1A3NYN17
1604281365,b629cab85878712ab84bccadf565e522,Form,1,0,intro,NULL,_REACTION_TIME_,5447
1604281365,b629cab85878712ab84bccadf565e522,Form,2,0,instructions,NULL,_REACTION_TIME_,6612
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,4,0,practice1,NULL,plus_trigger,1
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,4,0,practice1,NULL,minus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,5,0,practice1,NULL,minus_trigger,78
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,5,0,practice1,NULL,plus_trigger,69
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,6,0,practice1,NULL,plus_trigger,1
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,6,0,practice1,NULL,minus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,15,0,target_only_base_positive,4,plus_trigger,27
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,15,0,target_only_base_positive,4,minus_trigger,75
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,39,0,target_cleft_base_positive,16,plus_trigger,66
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,39,0,target_cleft_base_positive,16,minus_trigger,84
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,134,0,target_still_base_neutral,63,plus_trigger,74
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,134,0,target_still_base_neutral,63,minus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,30,0,target_too_base_neutral,11,plus_trigger,16
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,30,0,target_too_base_neutral,11,minus_trigger,83
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,42,0,target_cleft_base_neutral,17,plus_trigger,1
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,42,0,target_cleft_base_neutral,17,minus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,131,0,target_still_base_positive,62,plus_trigger,97
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,131,0,target_still_base_positive,62,minus_trigger,39
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,38,0,target_cleft_base_neutral,15,minus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,38,0,target_cleft_base_neutral,15,plus_trigger,1
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,31,0,target_too_base_positive,12,minus_trigger,54
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,31,0,target_too_base_positive,12,plus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,74,0,target_possessive_base_neutral,33,plus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,74,0,target_possessive_base_neutral,33,minus_trigger,30
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,87,0,target_question_base_positive,40,minus_trigger,37
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,87,0,target_question_base_positive,40,plus_trigger,91
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,35,0,target_too_base_positive,14,minus_trigger,2
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,35,0,target_too_base_positive,14,plus_trigger,100
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,123,0,target_stateChange_base_positive,58,minus_trigger,30
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,123,0,target_stateChange_base_positive,58,plus_trigger,89
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,126,0,target_stateChange_base_neutral,59,minus_trigger,95
1604281365,b629cab85878712ab84bccadf565e522,RangeForm,126,0,target_stateChange_base_neutral,59,plus_trigger,66
