form,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
,,,,,,,
base,only,Alexandra left for the park.,"On her way, she decided to go only to the park.","On her way, she decided to go to the post office.",What did Alexandra do last weekend?,She went only to the park.,She went to the park.
base,only,Sarah went off to go shopping.,"On her way, she decided to go only to the grocery store.","On her way, she decided to go to the bank.",What did Sarah do yesterday?,She went only to the grocery store.,She went to the grocery store.
base,only,Margo went off to the bank.,"On her way, she decided to go only to the bank.","On her way, she decided to go to the park.",What did Margo do yesterday?,She went only to the bank.,She went to the bank.
base,only,Terry went off to go shopping.,"On her way, he decided to go only to the grocery store.","On her way, he decided to go to the bank.",What did Terry do yesterday?,He decided to go only to the grocery store.,He decided to go to the grocery store.
base,only,Paul went off to the basketball court.,"On his way, he decided to go only to the basketball courty.","On his way, he decided to go to the park, instead.",What did Paul do last weekend?,He went to to only the basketball courty.,He went to the basketball court.
base,only,Even went off to the bank.,"On his way, he decided to go only to the bank.","On his way, he decided to go the drug store.",What did Even do this afternoon?,He went to only the bank.,He went to the bank.
,,,,,,,
base,even,Irene studied hard in calculus last semester.,She even got an A on the final exam.,She got an A on the final exam.,How did Irene do in class?,She even got an A on the final exam.,She got an A on the final exam.
base,even,Valerie's team played hard in the tournament.,They even made it to the semi-finals.,They made it to the semi-finals.,How did Valerie's team do in the tournament?,They even made it to the semi-finals.,They made it to the semi-finals.
base,even,Mira fought hard in her tennis tournament.,She even made it to the final game.,She made it to the final game.,How did Mira do in the tennis tournament?,She even made it to the final game.,She made it to the final game.
base,even,Xavi worked hard in English class last year.,He even got an A on the final project.,He got an A on the final project.,How did Xavi do in English class?,He even got an A on the final project.,He got an A on his final project.
base,even,Irma played well in a chess tournament.,She even made it to the semi-final game.,She made it to the semi-final game.,How did Irma do in the chess tournament?,She even made it to the semi-final game.,She made it to the semi-final game.
base,even,Tyler studied hard for his test.,He even scored at the top of his class.,He scored at the top of his class.,How did Tyler do on the test?,He even scored at the top of his class.,He scored at the top of his class.
,,,,,,,
base,too,Jonathan went to a concert.,"He then went to a party, too.",He then went to a party.,What was Jonathan up to yesterday?,"He went to a party, too.",He went to a party.
base,too,Lora went to a talk at the university.,"She then went to a reception, too.",She then went to a reception.,What did Lora do yesterday?,"She went to a reception, too.",She went to a reception.
base,too,Jamie watched a comedy show on TV.,"He then watched the news, too.",He then watched the news.,What did Jamie watch on TV?,"He watched the news, too.",He watched the news.
base,too,Boris went to dinner at a friend's house.,"He then went out to a bar, too.",He then went out to a bar.,What did Boris do last night?,"He went to a bar with friends, too.",He went to a bar with friends.
base,too,Orianna went out to dinner.,"She then went to the movies, too.",She then went to the movies.,What did Oriana do last night?,"She went to the movies, too.",She went to the movies.
base,too,Zoe went to dinner with friends.,"She then went out to a bar, too.",She then went out to a bar.,What did Zoe do last night?,"She went out to a bar, too.",She went out to a bar.
,,,,,,,
base,cleft,Hannah baked something last weekend.,It was muffins that she made.,She made muffins.,What did Hannah do last weekend?,It was muffins that she made.,She made muffins.
base,cleft,Avi took a class last spring.,It was a engineering class that he took.,He took an engineering class.,What did Avi do last spring?,It was a engineering class that he took.,He took an engineering class.
base,cleft,Marion built something last week.,It was a box that she built.,She built a box.,What did Marion do last week?,It was a box that she built.,She built a box.
base,cleft,Zeke watched a game earlier today.,It was a soccer game that he watched.,He watched a soccer game.,What did Zeke do today?,It was a soccer game that he watched.,He watched a soccer game.
base,cleft,Taylor went to a store earlier today.,It was the pet store where she went.,She went to the pet store.,What did Taylor do today?,It was the pet store where she went.,She went to the pet store.
base,cleft,Carter bought something yesterday.,It was a new mixer that he bought.,He bought a new mixer.,What did Carter do yesterday?,It was a new mixer that he bought.,He bought a new mixer.
,,,,,,,
base,cognitive,Desmond stole Jill's guitar.,She knows he stole it.,She suspects that he stole it.,Why is Jill upset?,She knows that Desmond stole her guitar.,She suspects that Desmond stole her guitar.
base,cognitive,Irma took Frank's phone charger.,He knows that she took it.,He suspects that she took it.,Why is Frank annoyed at Irma?,He knows that she stole his phone charger.,He suspects that she took his phone charger.
base,cognitive,Paul copied Laura's test answers.,She knows that he copied them.,She suspects that he copied them.,Why is Laura mad?,She knows that Paul copied her test answers.,She suspects that Paul copied her test answers.
base,cognitive,Tom stole Gina's new book.,She knows that he stole it.,She is suspicious that he stole it.,Why is Gina mad at Tom?,She knows that he stole her new book.,She's suspicious that he stole her new book.
base,cognitive,Rachel accidentally broke Will's glasses.,He knows that she broke them.,He suspects that she broke them.,Why is Will annoyed at Rachel?,He knows that she broke his glasses.,He suspects that she broke his glasses.
base,cognitive,Leah copied Raul's homework.,He knows that she copied it.,He suspects that she copied it.,What's up with Raul and Leah?,He knows that she copied his homework.,He suspects that she copied his homework.
,,,,,,,
base,emotive,Raymond stole Kira's doll.,She's angry that he stole it.,She suspects that he stole it.,What's wrong with Kira?,She's angry that Desmond stole her doll.,She suspects that Desmond stole her doll.
base,emotive,Kira took Edward's computer charger.,He's mad that she took it.,He suspects that she took it.,What's up with Edward and Kira?,He's mad that she took his computer charger.,He suspects that she took his computer charger.
base,emotive,Richard copied Dani's homework.,She is annoyed that he copied her.,She is suspicious that he copied her.,What's up with Dani?,She is annoyed that Richard copied her homework.,She is suspicious that Richard copied her homework.
base,emotive,Harry stole Annie's new scarf.,She's angry that he stole it.,She suspects that he stole it.,What's up with Annie?,She's angry that Harry stole her scarf.,She is suspects that Harry stole her scarf.
base,emotive,Sarah accidentally broke Nelson's guitar.,He's annoyed that she broke it.,He suspects that she broke it.,What's up with Nelson and Sarah?,He's annoyed that she broke his guitar.,He suspects that she broke his guitar.
base,emotive,Anna copied Landon's test answers.,He's mad that she copied them.,He suspects that she copied them.,What's up with Anna and Landon?,He's mad that she copied his test answers.,He suspects that she copied his test answers.
,,,,,,,
base,accomplishment,Madison participated in a chess tournament.,She won it.,She enjoyed participating in it.,What was Madison up to over the weekend?,She won a chess tournament.,She participated in a chess tournament.
base,accomplishment,Hope is looking for her high school yearbook.,She found it under the sofa.,She's getting frustrated looking for it.,What's new with Hope?,She found her high school yearbook.,She was looking for her high school yearbook.
base,accomplishment,Jules took a chemistry test yesterday.,He passed it.,He studied hard for it.,What did Jules do yesterday?,He passed a test.,He studied hard for a test.
base,accomplishment,Paulina participated in a tennis match yesterday.,She won the match.,She had a good time playing.,What did Paulina do yesterday?,She won a tennis match.,She played in a tennis match.
base,accomplishment,Edward is looking for his car keys.,He found them underneath the radiator.,He is getting annoyed as he looks.,What's up with Edward?,He found his car keys.,He was looking for his car keys.
base,accomplishment,Isaac is painting his room.,"Today, he continued painting it.","Today, he finished painting it.",What was Isaac up to today?,He painted his room.,He finished painting his room.
,,,,,,,
