projection,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
,,,,,,,
conditionals,only,Gabriel left for the hardware store.,"If he decided to go only there, that's where he is now.","If he then decided to go to the post office, that's where he is now.",What's Gabriel up to?,"If he decided to go only to the hardware store, that's where he is now.","If he decided to go to the hardware store, that's where he is now."
conditionals,only,Mazie went off to a local coffee shop.,"If she decided to go only there, that's where she is now.","If she then decided to go to the park, that's where she'll be now.",What's Mazie up to?,"If she decided to go only to a coffee shop, she'll be hanging out there.","If she decided to go to a coffee shop, she'll be hanging out there."
conditionals,only,Santiago left to visit the bank.,"If he decided to go only there, that's where he'll be.","If he then decided to go to city hall, that's where he'll be.",What's Santiago up to?,"If he decided to go only to the bank, he's probably there.","If he decided to go to the bank, he's probably there."
conditionals,only,Dominic went off to the gym.,"If he decided to go only there, he's probably there now.","If he then decided to go to the store, he's probably there.",What's Dominic doing?,"If he decided to go only to the gym, he's probably there.","If he decided to go to the gym, then he's probably there."
conditionals,only,Greta went to the dog park.,"If she decided to go only there, she'll be there now.","If when then decided to go to the track, she'll be there now.",What's Greta doing?,"If she decided to only go to the dog park, she'll be there now.","If she decided to go to the dog park, she'll be there now."
conditionals,only,Bailey left for the grocery store.,"If she decided to go only there, she'll be there now.","If she then decided to go to the wine shop, she'll be there now.",What's Bailey up to now?,"If she decided to go only to the grocery store, she'll be there now.","If she decided to go to the grocery store, she'll be there now."
,,,,,,,
conditionals,even,"Deryl studied hard for advanced Physics, but it was a challenging class.","If he even gets a B, he'll be happy.","If he gets a B, he'll be happy.",How is Deryl doing in his class this semester?,"If he even gets a B, he'll be happy.",If he gets a B he'll be happy.
conditionals,even,"Kobe's team played hard in the tournament, but the competition was fierce.",If they even make it past the group stage he will be happy.,"If they make it past the group stage, he'll be happy.",How does Kobe feel about his team?,"If they even make it past the group stage, he'll be happy.","If they make it past the group stage, he'll be happy."
conditionals,even,Cullen ran hard at the track meet.,If he even places he'll be happy.,"If he places, he'll be happy.",How dies Cullen feel about his performance at the track meet?,"If he even places, he'll be happy.","If he places, he'll be happy."
conditionals,even,Natasha studied hard for her exam.,"If she even gets a B, she'll be happy.","If she gets a B, she'll be happy.",How does Natasha feel about her exam?,"If she even gets a B, she'll be happy.","If she gets a B, she'll be happy."
conditionals,even,Kiera played hard in her tennis tournament.,"If she even makes it out of the group stage, she'll be happy.","If she makes it out of the group stage, she'll be happy.",How does Kiera feel about her performance at the tennis tournament?,"If she even makes it out of the group stage, she'll be happy.","If she makes it out of the group stage, she'll be happy."
conditionals,even,Madison worked hard in her advanced math class.,"If she even passes, she'll be happy.","If she passes, she'll be happy.",How does Madison feel about her math class?,"If she even passes, she'll be happy.",If she passes she'll be happy.
,,,,,,,
conditionals,too,Tira went to a bar after work.,"If she then went to a restaurant too, she'll be in a good mood.","If she then went to a restaurant, she'll be in a good mood.",How is Tira doing this evening?,"If she went to a restaurant too, she'll be in a good mood.","If she went to a restaurant, she'll be in a good mood."
conditionals,too,Shelby cleaned the kitchen.,"If she then cleaned the bathroom too, she'll be pleased.","If she then cleaned the bathroom, she'll be pleased.",How is Shelby feeling?,"If she cleaned the bathroom too, she'll be pleased.","If she cleaned the bathroom, she'll be pleased."
conditionals,too,Hazel went to a concert.,"If she then went to a party too, she'll be out late.","If she then went to a party, she'll be out late.",When is Hazel coming home?,"If she went to a party too, she'll be out late.","If she went to a party, she'll be out late."
conditionals,too,Jonah went to a coffee shop.,"If he then went to a park too, he'll be in a good mood.","If he then went to a park, he'll be in a good mood.",How is Jonah doing today?,"If he went to a park, too, he'll be in a good mood.","If he went to a park, he'll be in a good mood."
conditionals,too,Drake had a glass of wine.,"If he then had a cocktail too, he'll be tipsy.","If he then had a cocktail, he'll be tipsy.",How is Drake doing?,"If he had a cocktail too, he'll be tipsy.","If he had a cocktail, he'll be tipsy."
