projection,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
,,,,,,,
possibility,only,Gina went shopping at the supermarket.,Maybe on the way she decided to go only to the supermarket.,Maybe on the way she decided to go to the post office.,What did Gina do yesterday?,Maybe she went only to the post office.,Maybe she went to the post office.
possibility,only,Bill went to the park.,It’s possible on the way he decided to go only to the park.,It's possible on the way he decided to go to the beach instead.,What did Bill do last weekend?,It's possible he went only to the park.,It’s possible he went to the park.
possibility,only,Deirdre left for the bank.,It's possible on the way she decided to go only there.,It's possible on the way she decided to go to the library instead.,What did Deirdre do yesterday?,It's possible that she only went to the bank.,It's possible that she went to the bank.
possibility,only,Burt went to the library.,Maybe on the way he decided to go only there.,Maybe on the way he decided to go for ice cream.,What did Burt do today?,Maybe he went only to the library.,Maybe he went to the library.
possibility,only,Heba left for the town pool.,"It's possible on the way, she decided to go only there.",It's possible on the way she decided to go to the park.,What did Heba do yesterday.,It's possible she went only to the pool.,It's possible she went to the pool.
possibility,only,Diego went to the convenience store.,On the way he might have decided to go only to there.,On the way he might have decided to go to the library.,What did Diego do yesterday?,He might have only went to the convenience store.,He might have only went to the convenience store.
,,,,,,,
possibility,even,Irene studied hard in calculus last semester.,It's possible she even got honors.,It's possible that she got honors.,How did Irene do in class?,It's possible she even got honors.,It's possible she got honors.
possibility,even,Javier ran hard at the track meet.,Maybe he even broke a school record.,Maybe he broke a school record.,How did Javier do at the track meet?,Maybe he even broke a school record.,Maybe he broke a school record.
possibility,even,Kayla's team played hard in the state cup.,It's possible they even made it to the finals.,It's possible they made it to the finals.,How did Kayla's team do in the state cup?,It's possible they even made it to the finals.,It's possible they made it to the finals.
possibility,even,Tariq studied hard for his test.,It's possible he even got an A on it.,It's possible he got an A on it.,How did Tariq do on the final exam?,It's possible he even got an A.,It's possible he got an A.
possibility,even,Liz trained hard for the marathon.,It's possible she even beat her personal record.,It's possible she beat her personal record.,How did Liz do in the marathon?,It's possible she even beat her personal record.,It's possible she beat her personal record.
possibility,even,Akash's team played well in the lacrosse tournament.,Maybe they even made it to the semi-final game.,Maybe they made it to the semi-final game.,How did Akash's team do in the lacrosse tournament?,Maybe they even made it to the semi-final game.,Maybe they made it to the semi-final game.
,,,,,,,
possibility,too,Sahil went to a concert.,"Maybe he then went to an arcade, too.",Maybe he then went to an arcade.,What did Sahil do yesterday?,"Maybe he went to an arcade, too.",Maybe he went to an arcade.
possibility,too,Celine watched a comedy show on TV.,"She might have then watched the news, too.",She might have then watched the news.,What did Celine watch on TV?,"She might have watched the news, too.",She might have watched the news.
possibility,too,Boris went to dinner at a friend's house.,"Maybe he then went out to a bar, too.",Maybe he then went out to a bar.,What did Boris do last Sunday?,"Maybe he went out to a bar, too.",Maybe he went out to a bar.
possibility,too,Jamie went to the library.,"It's possible she then went to the post office, too.",It's possible she then went to the post office.,What did Jamie do today?,"It's possible she went to the post office, too.",It's possible she went to the post office.
possibility,too,Zev went to the movie theater.,"Maybe he then went for ice cream, too.",Maybe he then went for ice cream.,What did Zev do last night?,"Maybe he went for ice cream, too.",Maybe he went for ice cream.
