projection,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
,,,,,,,
possibility,only,Gina went shopping at the supermarket.,It’s possible that on the way she decided to go only to the supermarket.,It’s possible that on the way she decided to go to the post office.,What did Gina do yesterday?,It’s possible that she went only to the post office.,It’s possible that she went to the post office.
possibility,only,Bill went to the park.,It’s possible that on the way he decided to go only to the park.,It's possible that on the way he decided to go to the beach instead.,What did Bill do last weekend?,It's possible that he went only to the park.,It’s possible that he went to the park.
possibility,only,Deirdre left for the bank.,It's possible that on her way she decided to go only there..,It's possible that once it was on she decided to go to the library instead.,What did Deirdre do yesterday?,It's possible that she only went to the bank.,It's possible that she went to the bank.
possibility,only,Burt went to the library.,It’s possible that on the way he decided to go only there.,It's possible that on the way he decided to go for ice cream.,What did Burt do today?,It's possible that he went only to the library.,It's possible that he went to the library.
possibility,only,Heba left for the town pool.,"It's possible that on her way, she decided to go only there.",It's possible that on the way she decided to go to the park.,What did Heba do yesterday.,It's possible that she went only to the pool.,It's possible that she went to the pool.
possibility,only,Diego went to the convenience store.,It’s possible that on the way he decided to go only to there.,It's possible that on the way he decided to go to the library.,What did Diego do yesterday?,It's possible that he went only to the convenience store.,It's possible that he went to the convenience store.
,,,,,,,
possibility,even,Irene studied hard in calculus last semester.,It's possible that she even got honors.,It's possible that she got honors.,How did Irene do in class?,It's possible that she even got honors.,It's possible that she got honors.
possibility,even,Javier ran hard at the track meet.,It's possible that he even broke a school record.,It's possible that he broke a school record.,How did Javier do at the track meet?,It's possible that he even broke a school record.,It's possible that he broke a school record.
possibility,even,Kayla's team played hard in the state cup.,It's possible that they even made it to the finals.,It's possible that they made it to the finals.,How did Kayla's team do in the state cup?,It's possible that they even made it to the finals.,It's possible that they made it to the finals.
possibility,even,Tariq studied hard for his test.,It's possible that he even got an A on it.,It's possible that he got an A on it.,How did Tariq do on the final exam?,It's possible that he even got an A.,It's possible that he got an A.
possibility,even,Liz trained hard for the marathon.,It's possible that she even beat her personal record.,It's possible that that she beat her personal record.,How did Liz do in the marathon?,It's possible that she even beat her personal record.,It's possible that she beat her personal record.
possibility,even,Akash's team played well in the lacrosse tournament.,It's possible that they even made it to the semi-final game.,It's possible that they made it to the semi-final game.,How did Akash's team do in the lacrosse tournament?,It's possible that they even made it to the semi-final game.,It's possible that they made it to the semi-final game.
,,,,,,,
possibility,too,Sahil went to a concert.,"Maybe he then went to an arcade, too.",Maybe he then went to an arcade.,What did Sahil do yesterday?,"Maybe he went to an arcade, too.",Maybe he went to an arcade.
possibility,too,Celine watched a comedy show on TV.,"Maybe she then watched the news, too.",Maybe she then watched the news.,What did Celine watch on TV?,"Maybe she watched the news, too.",Maybe she watched the news.
possibility,too,Boris went to dinner at a friend's house.,"Maybe he then went out to a bar, too.",Maybe he then went out to a bar.,What did Boris do last Sunday?,"Maybe he went out to a bar, too.",Maybe he went out to a bar.
possibility,too,Jamie went to the library.,"Maybe she then went to the post office, too.",Maybe she then went to the post office.,What did Jamie do today?,"Maybe she went to the post office, too.",Maybe she went to the post office.
possibility,too,Zev went to the movie theater.,"Maybe he then went for ice cream, too.",Maybe he then went for ice cream.,What did Zev do last night?,"Maybe he went for ice cream, too.",Maybe he went for ice cream.
possibility,too,Lauren went to class.,"Maybe she then went to the library, too.",Maybe she then went to the library.,What did Lauren do yesterday?,"Maybe she went to the library, too.",Maybe she went to the library.
,,,,,,,
possibility,cleft,Hannah baked something last weekend.,Maybe it was muffins that she made.,Maybe she made muffins.,What did Hannah do last weekend?,Maybe it was muffins that she made.,Maybe she made muffins.
possibility,cleft,Dale fixed something yesterday.,Maybe it was the TV remote that he fixed.,Maybe he fixed the TV remote.,What did Dale do yesterday?,Maybe it was the TV remote that he fixed.,Maybe he fixed the TV remote.
possibility,cleft,Hyla tasted some Thai food.,Maybe it was pad thai that she tried.,Maybe she tried pad thai.,What did Hyla do tonight?,Maybe it was pad thai that she tried.,Maybe she tried pad thai.
possibility,cleft,Ryan read something yesterday.,Maybe it was a comic book that he read.,Maybe he read a comic book.,What did Ryan do yesterday?,Maybe it was a comic book that he read.,Maybe he read a comic book.
possibility,cleft,Sylvia watched a game this morning.,Maybe it was a hockey game that she watched.,Maybe she watched a hockey game.,What did Sylvia do this morning?,Maybe it was a hockey game that she watched.,Maybe she watched a hockey game.
possibility,cleft,Marina built something last night.,Maybe it was a box that she built.,Maybe she built a box.,What did Marina do last night?,Maybe it was a box that she built.,Maybe she built a box.
,,,,,,,
possibility,cognitive,Desmond stole Jill's guitar.,It's possible she knows he stole it.,It's possible she suspects that he stole it.,Why is Jill upset?,It's possible she knows that Desmond stole her guitar.,It's possible she suspects that Desmond stole her guitar.
possibility,cognitive,Zach stole Wanda's computer.,It's possible she knows he stole it.,It's possible she suspects that he stole it.,Why is Wanda mad?,It's possible she knows that Zach stole her computer.,It's possible she suspects that Zach stole her computer.
possibility,cognitive,Jerry took Beatrice's book.,It's possible he knows she took it.,It's possible he suspects that she took it.,Why is Beatrice mad at Jerry?,It's possible she knows he took her book.,It's possible she suspects that he took her book.
